,관광지명,lat,lon
0,가래골캠핑장,37.9937972,127.1594164
1,가산수피아,36.0861125,128.4850469
2,강나루오토캠핑장,,
3,강동그린웨이가족캠핑장,37.5360802,127.1532522
4,계방산오토캠핑장,37.6996674,128.4786863
5,고래불국민야영장,36.5707579,129.420064
6,고사포야영장,35.6623535,126.5095583
7,곰섬오토캠프장,36.5995573,126.2936179
8,광교호수공원가족캠핑장,37.27433490000001,127.0654409
9,구봉산오토캠핑장나인힐스,37.1824151,127.3091098
10,금은모래캠핑장,37.2932473,127.6662438
11,김포캠핑파크,37.7471533,126.5597919
12,김포한강오토캠핑장,37.7034448,126.6545183
13,김해생림오토캠핑장,,
14,나린오토캠핑장,38.0188719,126.9719444
15,난지캠핑장,,
16,내리계곡솔밭캠핑장,37.1023588,128.6830631
17,노루벌캠핑장,36.2792164,127.3341648
18,노을진캠핑장,,
19,노을캠핑장,37.5732074,126.873825
20,달궁자동차야영장,35.3547842,127.5582793
21,닷돈재4색야영장,36.8440719,128.0929973
22,대부도구봉도야영장,37.2727301,126.5657124
23,대부도나라펜션캠핑장,37.2299307,126.6187917
24,대부도캠핑시티,37.20147,126.6448632
25,대저캠핑장,35.2149276,128.9901935
26,대청호로하스캠핑장,36.4561675,127.4747085
27,대회산캠핑장,38.0673925,127.2395456
28,더드림핑,37.6531775,127.3691202
29,덕주야영장,36.8669456,128.0873543
30,도덕산캠핑장,,
31,도마치캠프장,38.05171199999999,127.389359
32,동강전망자연휴양림캠핑장,37.2607959,128.6079187
33,동막해수욕장캠핑장,37.5927008,126.4584129
34,동화힐링캠프,37.89124899999999,126.8409555
35,두리생태공원오토캠핑장,37.57036069999999,126.7634901
36,둘레길캠핑장,36.9319887,126.2939164
37,망상오토캠핑리조트,37.598227,129.0807874
38,망상제2오토캠핑장,37.5908911,129.0925567
39,목계솔밭야영장,37.0739833,127.8807381
40,몽산포오션캠핑장,36.69108689999999,126.2956623
41,몽산포오토캠핑장,36.6696446,126.2871932
42,몽산포오토캠핑장2구역,36.6688408,126.2880594
43,몽산포청솔오토캠핑장,36.6739343,126.2832259
44,문수골힐링캠핑장,37.7405131,126.5353219
45,물왕숲캠핑파크,37.3808419,126.8273247
46,밀양아리랑오토캠핑장,35.3511364,128.7568496
47,바다캠핑장,,
48,백도해수욕장오토캠핑장,38.3003917,128.5459932
49,백로주유원지캠프장,37.9809888,127.2427928
50,범바위캠핑정원,37.6428027,126.6007278
51,병지방오토캠프장,37.595281,128.05757
52,보리울오토캠핑장,37.7041641,127.6056728
53,봉수대오토캠핑장,,
54,북분솔밭캠핑장,,
55,산들래캠핑장,37.2103419,126.8932641
56,삼락생태공원오토캠핑장,35.1687484,128.9735403
57,삼원레저타운캠핑장,36.77749,126.3513662
58,새연카라반리조트가평현리1호점,34.8303352,127.8867902
59,서울대공원자연캠프장,37.4275247,127.0170252
60,석갱이오토캠핑장,36.8881595,126.198564
61,설악동야영장,38.1625911,128.5431741
62,섬강두꺼비오토캠핑장,37.2514543,127.7555895
63,소금강자동차야영장,37.8153978,128.7081273
64,소풍캠핑장,37.1331583,127.2063215
65,솔뜰캠핑장,37.5421578,127.4680614
66,솔밭가족캠프촌,38.0921408,128.654124
67,솔밭캠프장,37.3282155,128.271255
68,송지호오토캠핑장,38.3424407,128.5135465
69,수도권매립지캠핑장,37.5705317,126.6552143
70,승촌보오토캠핑장,35.0637827,126.7560532
71,십리포해수욕장캠핑장,37.2814309,126.4859112
72,씨사이드힐캠핑장,37.634535,126.3751961
