,관광지명,광역시/도,시/군/구,도로명주소,중분류 카테고리,소분류 카테고리,검색건수,date
0,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,숙박,캠핑,1383,202001
1,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,숙박,캠핑,1325,202001
2,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,숙박,캠핑,1073,202001
3,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,숙박,캠핑,1504,202002
4,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,숙박,캠핑,942,202002
5,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,숙박,캠핑,821,202002
6,목계솔밭야영장,충청북도,충주시,충북 충주시,숙박,캠핑,794,202002
7,대저캠핑장,부산광역시,강서구,부산 강서구,숙박,캠핑,741,202002
8,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,숙박,캠핑,739,202002
9,이포보오토캠핑장양촌지구,경기도,여주시,경기 여주시 여양로 1935-177,숙박,캠핑,725,202002
10,승촌보오토캠핑장,광주광역시,남구,광주 남구,숙박,캠핑,709,202002
11,합강공원오토캠핑장,세종특별자치시,세종특별자치시,세종시 태산로 329-0,숙박,캠핑,705,202002
12,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,숙박,캠핑,641,202002
13,자라섬오토캠핑장,경기도,가평군,경기 가평군 자라섬로 60-0,숙박,캠핑,635,202002
14,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,숙박,캠핑,629,202002
15,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,숙박,캠핑,621,202002
16,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,숙박,캠핑,3034,202003
17,대저캠핑장,부산광역시,강서구,부산 강서구,숙박,캠핑,2502,202003
18,목계솔밭야영장,충청북도,충주시,충북 충주시,숙박,캠핑,2414,202003
19,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,숙박,캠핑,2089,202003
20,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,숙박,캠핑,1660,202003
21,승촌보오토캠핑장,광주광역시,남구,광주 남구,숙박,캠핑,1652,202003
22,황산문화체육공원국민여가캠핑장,경상남도,양산시,경남 양산시 낙동로 295-19,숙박,캠핑,1530,202003
23,재인폭포오토캠핑장,경기도,연천군,경기 연천군 현문로508번길 140-0,숙박,캠핑,1462,202003
24,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,숙박,캠핑,1363,202003
25,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,숙박,캠핑,1294,202003
26,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,숙박,캠핑,1170,202003
