"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반야영장업","03_11_07_P","3820000","CDFI2262132019000001","20190314","","02","휴업","02","휴업","","20220712","20230711","","","","","경기도 의정부시 호원동 163","경기도 의정부시 창포원로 81 (호원동)","11716","도봉야영장","20220712151934","U","2022-07-14 02:40:00.0","","204061.317079755","465859.327585039","일반야영장업","","자연녹지지역","1","기타","","현대해상화재보험","기타","1","0","0","299","","","0","0","","0","0","","0","298.8","","0","","","","","","","0","","","","299",
"2","일반야영장업","03_11_07_P","5600000","CDFI2262132019000004","20190603","","02","휴업","02","휴업","","20221001","20230430","","","","","경기도 포천시 화현면 명덕리 179-1","경기도 포천시 화현면 봉화로 267","11125","블루파크","20221021114147","U","2022-10-23 02:40:00.0","","224402.733047981","485580.924442765","일반야영장업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","354.4","","0","","","","","","","0","","","","354",
"3","일반야영장업","03_11_07_P","5360000","CDFI2262132019000002","20190930","","02","휴업","02","휴업","","20200123","20200531","","","","","경상남도 밀양시 산내면 삼양리 산 138","경상남도 밀양시 산내면 하양지안길 11-19","50415","얼음골 캠핑장","20210208130244","U","2021-02-10 02:40:00.0","","376860.05016624","234993.327339618","일반야영장업","","관리지역","1","기타","","","기타","","","","","","","","","","","","","","109.9","","","","","","","","","","","","","110",
"4","일반야영장업","03_11_07_P","4510000","CDFI2262132019000002","20190923","","02","휴업","02","휴업","","20220101","20220731","","","","","충청남도 보령시 웅천읍 관당리 645-14","충청남도 보령시 웅천읍 열린바다로 100-50","33508","대천용두야영장","20220204093617","U","2022-02-06 02:40:00.0","","158713.715329","306649.001255","일반야영장업","","관리지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","73.06","","0","","","","","","","0","","","","73",
"5","일반야영장업","03_11_07_P","4160000","CDFI2262132019000013","20190711","","02","휴업","02","휴업","","20221101","20230415","","","","","경기도 가평군 북면 화악리 741-7","경기도 가평군 북면 화악산로 816","12402","별천지야영장","20221021140917","U","2022-10-23 02:40:00.0","","248026.410121665","492383.325592442","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","일반야영장업","03_11_07_P","4330000","CDFI2262132015000013","20150612","","02","휴업","02","휴업","","20221101","20230430","","033-462-5031","","","강원도 인제군 북면 용대리 산 262-1 용대리자연자연휴양림","강원도 인제군 북면 연화동길 7, 용대리자연자연휴양림","24605","국립용대자연휴양림","20221028151217","U","2022-10-30 02:40:00.0","","315434.504529629","525379.075574542","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"7","일반야영장업","03_11_07_P","5590000","CDFI2262132019000001","20190802","","02","휴업","02","휴업","","20220411","20230411","","","","","경기도 양주시 회암동 22-3","경기도 양주시 화합로 1970 (회암동)","11475","케렌시아캠핑장","20220513151133","U","2022-05-15 02:40:00.0","","209894.525462184","482215.704907805","일반야영장업","","","1","기타","","농협손해보험주식회사","","","","","185","","","","","","","","","","184.55","","","","","","","","","","","","","185",
"8","일반야영장업","03_11_07_P","5440000","CDFI2262132019000002","20191029","","02","휴업","02","휴업","","20200901","20210630","","","","","경상남도 하동군 청암면 묵계리 106-9","경상남도 하동군 청암면 청학로 1825-8","52309","할매야영장","20200902140621","U","2020-09-04 02:40:00.0","","","","일반야영장업","","관리지역","1","기타","","","기타","1","0","","","","","","","","","","","","103.84","","","","","","","","","","","","","104",
"9","일반야영장업","03_11_07_P","5440000","CDFI2262132020000001","20200212","","02","휴업","02","휴업","","20210420","20210831","","","","","경상남도 하동군 옥종면 두양리 38-8","경상남도 하동군 옥종면 옥단로 1795-17","52311","자유캠핑장","20220831100826","U","2022-09-02 02:40:00.0","","","","일반야영장업","","관리지역","","","","","","","","","98","","","","","","","","","","3296","","","","","","","","","500000000","","","","3296",
"10","일반야영장업","03_11_07_P","4140000","CDFI2262132020000002","20200127","","02","휴업","02","휴업","","20220311","20220630","","031-835-8828","","","경기도 연천군 백학면 구미리 240","경기도 연천군 백학면 노아로491번길 283","11049","백학자유로리조트","20220713154729","U","2022-07-15 02:40:00.0","","195352.599477076","500619.208524619","일반야영장업","","","0","","","","","0","0","0","152","","","0","0","","0","0","","0","5497","","0","","","","","","","0","","","","5497",
"11","일반야영장업","03_11_07_P","4910000","CDFI2262132021000002","20211231","","02","휴업","02","휴업","","20220823","20221231","","061-860-5995","","","전라남도 장흥군 안양면 수문리 산 33-18","전라남도 장흥군 안양면 수문용곡로 159-36","59339","장흥군 수문랜드 블루투어","20220825112147","U","2022-08-27 02:40:00.0","","","","일반야영장업","","관리지역","0","","","","기타","0","0","0","120","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","일반야영장업","03_11_07_P","5240000","CDFI2262132020000002","20200616","","02","휴업","02","휴업","","20211223","20221222","","054-679-6354","","","경상북도 봉화군 봉성면 우곡리 500","","","다덕약수관광지 캠핑장","20211222092513","U","2021-12-24 02:40:00.0","","362860.946747824","380977.445639284","일반야영장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13","일반야영장업","03_11_07_P","4170000","CDFI2262132020000002","20200528","","02","휴업","02","휴업","","20210720","20220719","","","","","경기도 양평군 지평면 곡수리 535-1","경기도 양평군 지평면 고재길 108","12544","고재 야영장","20210721084730","U","2021-07-23 02:40:00.0","","253595.577124695","436348.164698777","일반야영장업","","관리지역","","","","삼성화재해상보험","","","","","","","","","","","","","","","1838","","","","","","","","","","","","","1838",
"14","일반야영장업","03_11_07_P","3670000","CDFI2262132020000001","20201013","","02","휴업","02","휴업","","20210813","20221031","","","","","대전광역시 유성구 노은동 288-17","대전광역시 유성구 노은서로 19 (노은동)","34145","더 노은로 캠핑장","20210817112447","U","2021-08-19 02:40:00.0","","228208.278114","318066.302464","일반야영장업","","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","4800","","0","","","","","","","0","","","","4800",
"15","일반야영장업","03_11_07_P","5260000","CDFI2262132022000001","20220720","","02","휴업","02","휴업","","20220720","20230630","","","","","경상북도 울릉군 서면 남서리 63-1","","","남서야영장","20220801180744","U","2022-08-03 02:40:00.0","","","","일반야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
