기관ID,기관이름,상품이름,숙박일자,상태
106,청태산 자연휴양림,1휴_노루귀,20201022,체크아웃
106,청태산 자연휴양림,1휴_구절초,20201022,체크아웃
106,청태산 자연휴양림,1휴_금낭화,20201022,체크아웃
106,청태산 자연휴양림,1휴_꽃창포,20201022,체크아웃
196,천관산 자연휴양림,낙엽송,20210204,체크아웃
242,황정산 자연휴양림,옥순봉,20210215,체크아웃
115,속리산 자연휴양림,(신) 202호 설앵초,20210208,체크아웃
190,지리산 자연휴양림,촛대봉,20210226,체크아웃
191,오서산 자연휴양림,(신)405호 찔레꽃,20210204,체크아웃
115,속리산 자연휴양림,201호 형제봉,20210203,체크아웃
115,속리산 자연휴양림,201호 형제봉,20210204,체크아웃
182,칠보산 자연휴양림,만병초(2동-1층),20210206,체크아웃
141,덕유산 자연휴양림,구상나무2,20210205,체크아웃
102,용대 자연휴양림,[연]머루,20210208,체크아웃
104,아세안 자연휴양림,싱가포르(3),20210131,체크아웃
103,산음 자연휴양림,독수리,20210131,체크아웃
104,아세안 자연휴양림,싱가포르(1),20210226,체크아웃
194,운장산 자연휴양림,참새,20210207,체크아웃
220,용현 자연휴양림,101호 노루귀,20210218,체크아웃
115,속리산 자연휴양림,(신) 206호 낙엽송,20210201,체크아웃
191,오서산 자연휴양림,(신)412호 물봉선꽃,20210205,체크아웃
187,희리산 자연휴양림,606호 봉선화,20210201,체크아웃
104,아세안 자연휴양림,태국(1),20210131,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210221,체크아웃
104,아세안 자연휴양림,태국(2),20210218,체크아웃
106,청태산 자연휴양림,2휴_층층나무,20210204,체크아웃
182,칠보산 자연휴양림,제비꽃,20210201,체크아웃
101,유명산 자연휴양림,[1휴]초롱꽃,20210205,체크아웃
102,용대 자연휴양림,[휴]얼레지,20210130,체크아웃
191,오서산 자연휴양림,(신)406호 잔디꽃,20210217,체크아웃
191,오서산 자연휴양림,(신)406호 잔디꽃,20210218,체크아웃
103,산음 자연휴양림,산마늘,20210203,체크아웃
103,산음 자연휴양림,산마늘,20210204,체크아웃
181,방장산 자연휴양림,신_자귀나무(2층),20210210,체크아웃
182,칠보산 자연휴양림,동백(2동-2층),20210130,체크아웃
110,복주산 자연휴양림,금낭화,20210205,체크아웃
141,덕유산 자연휴양림,층층나무2,20210205,체크아웃
107,삼봉 자연휴양림,가칠봉,20210203,체크아웃
107,삼봉 자연휴양림,가칠봉,20210204,체크아웃
105,신불산 자연휴양림,하단1관 단풍나무,20210206,체크아웃
101,유명산 자연휴양림,뻐꾸기,20210131,체크아웃
191,오서산 자연휴양림,(신)106호 동자꽃,20210218,체크아웃
300,상당산성 자연휴양림,1휴_205호구절초,20210224,체크아웃
300,상당산성 자연휴양림,1휴_205호구절초,20210225,체크아웃
103,산음 자연휴양림,산까치,20210308,체크아웃
202,달음산 자연휴양림,해님(1층),20210203,체크아웃
190,지리산 자연휴양림,토끼봉,20210310,체크아웃
190,지리산 자연휴양림,토끼봉,20210311,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210204,체크아웃
101,유명산 자연휴양림,[연]자작나무,20210130,체크아웃
200,낙안민속 자연휴양림,(신) 장독대,20210201,체크아웃
191,오서산 자연휴양림,(신)403호 살구꽃,20210201,체크아웃
106,청태산 자연휴양림,낙엽송,20210210,체크아웃
195,운문산 자연휴양림,잣나무(2휴),20210201,체크아웃
115,속리산 자연휴양림,104호 비로봉,20210307,체크아웃
200,낙안민속 자연휴양림,(신) 비비추,20210129,체크아웃
103,산음 자연휴양림,크낙새,20210204,체크아웃
141,덕유산 자연휴양림,구상나무1,20210225,체크아웃
115,속리산 자연휴양림,104호 비로봉,20210308,체크아웃
202,달음산 자연휴양림,선녀(1층),20210215,체크아웃
202,달음산 자연휴양림,금도끼(1층),20210314,체크아웃
103,산음 자연휴양림,산마늘,20210207,체크아웃
103,산음 자연휴양림,산마늘,20210210,체크아웃
106,청태산 자연휴양림,1휴_제비꽃,20210224,체크아웃
102,용대 자연휴양림,[연]다래,20210130,체크아웃
103,산음 자연휴양림,황토방2,20210221,체크아웃
101,유명산 자연휴양림,종달새,20210208,체크아웃
191,오서산 자연휴양림,(신)410호 패랭이꽃,20210206,체크아웃
242,황정산 자연휴양림,온달,20210226,체크아웃
196,천관산 자연휴양림,비자나무 A,20210207,체크아웃
196,천관산 자연휴양림,비자나무 A,20210208,체크아웃
102,용대 자연휴양림,덜꿩나무,20210204,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210207,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210208,체크아웃
110,복주산 자연휴양림,[1휴]올배미,20210130,체크아웃
110,복주산 자연휴양림,[1휴]두견새,20210206,체크아웃
141,덕유산 자연휴양림,단풍나무,20210206,체크아웃
105,신불산 자연휴양림,하단2관 곤달비,20210206,체크아웃
113,가리왕산 자연휴양림,소쩍새,20210206,체크아웃
192,남해편백 자연휴양림,솔섬,20210206,체크아웃
106,청태산 자연휴양림,소나무,20210130,체크아웃
113,가리왕산 자연휴양림,파랑새,20210206,체크아웃
141,덕유산 자연휴양림,전나무 1,20210206,체크아웃
200,낙안민속 자연휴양림,(신) 비비추,20210206,체크아웃
101,유명산 자연휴양림,[1휴]산벚나무,20210207,체크아웃
300,상당산성 자연휴양림,5동 밤나무,20210207,체크아웃
187,희리산 자연휴양림,609호 접시꽃,20210211,체크아웃
101,유명산 자연휴양림,[1휴]초롱꽃,20210221,체크아웃
187,희리산 자연휴양림,603호 문주란,20210213,체크아웃
192,남해편백 자연휴양림,떼섬,20210213,체크아웃
104,아세안 자연휴양림,태국(2),20210228,체크아웃
101,유명산 자연휴양림,산까치,20210205,체크아웃
190,지리산 자연휴양림,영신봉,20210303,체크아웃
190,지리산 자연휴양림,영신봉,20210304,체크아웃
103,산음 자연휴양림,산까치,20210307,체크아웃
200,낙안민속 자연휴양림,(신) 장독대,20210208,체크아웃
104,아세안 자연휴양림,싱가포르(1),20210224,체크아웃
104,아세안 자연휴양림,싱가포르(1),20210225,체크아웃
191,오서산 자연휴양림,(신)104호 달맞이꽃,20210214,체크아웃
191,오서산 자연휴양림,(신)104호 달맞이꽃,20210215,체크아웃
192,남해편백 자연휴양림,대초도,20210307,체크아웃
192,남해편백 자연휴양림,대초도,20210308,체크아웃
110,복주산 자연휴양림,금낭화,20210207,체크아웃
141,덕유산 자연휴양림,수선화,20210204,체크아웃
115,속리산 자연휴양림,(신) 201호 금낭화,20210205,체크아웃
104,아세안 자연휴양림,태국(1),20210204,체크아웃
200,낙안민속 자연휴양림,(신) 장독대,20210205,체크아웃
106,청태산 자연휴양림,낙엽송,20210206,체크아웃
182,칠보산 자연휴양림,양지꽃,20210205,체크아웃
300,상당산성 자연휴양림,1동 아까시나무,20210131,체크아웃
104,아세안 자연휴양림,태국(3),20210131,체크아웃
101,유명산 자연휴양림,[연]느티나무,20210203,체크아웃
187,희리산 자연휴양림,뻐꾸기(1동2층),20210201,체크아웃
102,용대 자연휴양림,[연]억새,20210213,체크아웃
103,산음 자연휴양림,황토방1,20210218,체크아웃
190,지리산 자연휴양림,명선봉,20210314,체크아웃
181,방장산 자연휴양림,신_편백나무(2층),20210227,체크아웃
202,달음산 자연휴양림,금도끼(1층),20210201,체크아웃
300,상당산성 자연휴양림,1휴_205호구절초,20210204,체크아웃
103,산음 자연휴양림,구상나무,20210210,체크아웃
182,칠보산 자연휴양림,해당화(2동-2층),20210218,체크아웃
192,남해편백 자연휴양림,곡두섬,20210303,체크아웃
192,남해편백 자연휴양림,곡두섬,20210304,체크아웃
220,용현 자연휴양림,101호 노루귀,20210201,체크아웃
182,칠보산 자연휴양림,구상나무(1동-1층),20210226,체크아웃
