CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300002,(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",35.2714369,126.9609528,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,4,3,2,20,1,2,24,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2016-10-27,1,I,20201125000000,,,N,
CAP300003,(주)쉐르빌리안티티,글램핑,37.7015645,127.5960926,강원 홍천군 서면 밤벌길19번길 111,0,0,18,0,4,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점","애견 놀이터, 애견 수영장, 탁구장, 족구장, 노래방",2020-11-20,2016-09-13,2,I,20201125000000,,,N,
CAP300006,(주)어반슬로우시티,"자동차야영장,글램핑",37.732632,127.5116915,강원도 춘천시 남면 가옹개길 108,0,0,0,0,0,0,0,0,0,0,0,,,2020-11-20,2015-08-04,5,I,20201125000000,,,N,
CAP300007,쥴리어스지점 휴토피아,글램핑,37.6963001,127.6892996,강원도 홍천군 서면 어유포리  282-8,0,0,17,0,0,0,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트, 편의점","단체 바비큐장, 계곡",2020-11-20,2016-04-29,6,I,20201125000000,,,N,
CAP300009,(주)자연인,"일반야영장,글램핑",33.4687254,126.5399565,제주특별자치도 제주시 아란서길 110-0,0,0,20,0,1,1,1,0,0,0,0,운동시설,,2020-11-20,2016-08-26,8,I,20201125000000,,,N,
CAP300012,80 SS 오토캠핑장,"일반야영장,자동차야영장,글램핑",36.0300417,128.6304762,경북 군위군 부계면 남산리 1138-4번지,14,10,7,0,2,2,2,40,0,0,7,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-08-05,11,I,20201125000000,,,N,
CAP300014,Camp 1950 by 민들레울,"일반야영장,글램핑",35.8787838,127.9410435,김천시 대덕면 남김천대로 160,9,0,11,0,3,3,1,22,1,1,18,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2017-04-27,13,I,20201125000000,,,N,
CAP300015,CLUB 596,"일반야영장,글램핑",36.683579,126.2683706,충남 태안군 남면 몽산리 596,0,0,5,0,2,2,2,8,0,0,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로",,2020-11-20,2017-08-01,14,I,20201125000000,,,N,
CAP300020,THATS CAMPING 횡성자연휴양림야영장,"일반야영장,글램핑",37.5390902,128.1110517,강원도 횡성군 갑천면정포로430번길 113  THATS CAMPING 횡성자연휴양림야영장,0,60,5,0,3,2,2,0,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",2020-11-20,2015-05-29,19,I,20201125000000,,,N,
CAP300024,W글램핑,"일반야영장,글램핑",35.3932118,127.8873465,경상남도 산청군 산청읍 내리  259-5,1,0,14,0,2,2,2,15,0,1,15,"전기,놀이터,운동시설",,2020-11-20,2016-05-03,23,I,20201125000000,,,N,
