아이디,기관명,상품명,면적,상품위치경도,상품위치위도,상품설명,사용여부,주소,비수기주중단가,비수기주말단가,성수기주중단가,성수기주말단가,지역,홈페이지주소
101,유명산 자연휴양림,고라니,46㎡,37.59010292,127.4821423,"◈시설현황◈방1, 거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다. (1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,98000,173000,173000,173000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,꾀꼬리,39㎡,37.59081214,127.483868,"◈시설현황◈거실1, 주방1,방1, 다락1,화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,75000,134000,134000,134000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,너구리,39㎡,37.591139,127.4827067,"◈시설현황◈방1, 다락1,거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다. (1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15※ 기상상황에 따라 연장될 수 있습니다.- 와이파이 사용 안됩니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,75000,134000,134000,134000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,반달곰,46㎡,37.59024438,127.4822508,"◈시설현황◈방1, 거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다. (1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,98000,173000,173000,173000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,비둘기,39㎡,37.59085832,127.4835937,"◈시설현황◈방1, 다락1,거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,75000,134000,134000,134000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,뻐꾸기,23㎡,37.59106018,127.4838016,"◈시설현황◈거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실 비치 물품 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능) ◈준비물◈세면도구,수건,휴지 * 바비큐 이용 시 화로대 및 필요 물품 모두 지참(피크닉 테이블만 제공 됨), 산불조심기간 바비큐 전면금지※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈- 애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,45000,82000,82000,82000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,산까치,26㎡,37.59095305,127.4841123,"★해당 객실은실버(만65세 이상)전용 우선예약 객실입니다. 매월 4일~8일까지 실버 고객으로 등록된 회원대상으로 우선예약을 받은 후, 잔여 객실에 한해서 매월 15일 09:00 에 숲나들e 전체 회원에게 예약이 오픈됩니다★◈시설현황◈거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실 비치 물품 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능) ◈준비물◈세면도구,수건,휴지 * 바비큐 이용 시 화로대 및 필요 물품 모두 지참(피크닉 테이블만 제공 됨), 산불조심기간 바비큐 전면금지​※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈- 애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,45000,82000,82000,82000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,산돼지,39㎡,37.5930846,127.4915653,"★해당 객실은다자녀 가정 우선예약 객실입니다. 매월 4일~8일까지 다자녀 가정으로 등록된 회원대상으로 우선예약을 받은 후, 잔여 객실에 한해서 매월 15일 09:00 에 숲나들e 전체 회원에게 예약이 오픈됩니다★◈시설현황◈방1, 다락1,거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,75000,134000,134000,134000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,산토끼,39㎡,37.59000728,127.4823965,"◈시설현황◈방1,거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실비치물품은 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능)◈준비물◈세면도구(비누 1개만 비치되어 있음),수건,휴지,드라이기* 바비큐 이용 시 화로대 및필요 물품모두 지참(피크닉 테이블만 제공 됨)​* 산불조심기간에는 바비큐 전면 금지(산불조심기간은 홈페이지 참고)※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)ff51fb19-c6be-4397-a2b9-69a3c69b9c91◈주의사항◈-애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,75000,134000,134000,134000,인천/경기,http://www.foresttrip.go.kr/0101
101,유명산 자연휴양림,소쩍새,26㎡,37.59127938,127.4841795,"◈시설현황◈거실1, 주방1, 화장실1, 싱크대, 선풍기(여름철에만 비치), 피크닉테이블취사도구 및 객실 비치 물품 글 아래에서 확인 가능※ 에어컨(유료)이 준비되어 있습니다.(1일 기준 2,000원-현장결제/인터넷선결제 모두 가능) ◈준비물◈세면도구,수건,휴지 * 바비큐 이용 시 화로대 및 필요 물품 모두 지참(피크닉 테이블만 제공 됨), 산불조심기간 바비큐 전면금지​※ 입실:오후3시-10시※ 입실시간을 준수하여 주시기 바랍니다.(입실시간 이외에는 입실이 거부될 수 있습니다.)※퇴실:다음날 오전 11시까지(매표소에 방열쇠 반납)12ef7c86-3d92-447d-8f52-bbe1d54da1e2◈주의사항◈- 애완견 동반 입장불가- 기준인원 초과 시 입실불가입니다.-야외 바비큐 전면금지 기간 : 봄, 가을철 산불조심기간 o 봄철산불조심기간 : 2.1 ~ 5.15 o 가을철산불조심기간 : 11.1 ~ 12.15 ※ 기상상황에 따라 연장될 수 있으니 기간 홈페이지에서 확인하시기 바랍니다.- 숯불, 바비큐 시설이 없습니다. 숯 및 화로 모두 지참하시기 바랍니다.- 와이파이 사용 안됩니다.- 객실이 산에 위치하고 있어 벌레가 나올 수 있습니다.",사용가능,(12473) 경기 가평군 설악면 유명산길 79-53 ,45000,82000,82000,82000,인천/경기,http://www.foresttrip.go.kr/0101
