년도,연령대별(이용자수),20대,건수1,30대,건수2,40대,건수3,50대,건수4,60대이상,건수5
2013,1순위,유명산(가평),465,유명산(가평),5137,유명산(가평),7209,유명산(가평),2428,유명산(가평),864
2013,2순위,운문산(청도),330,운문산(청도),3054,운문산(청도),3577,지리산(함양),1161,남해편백(남해),571
2013,3순위,남해편백(남해),280,희리산(서천),2957,희리산(서천),3561,청태산(횡성),1119,운문산(청도),539
2013,4순위,칠보산(영덕),216,남해편백(남해),2851,산음(양평),3199,남해편백(남해),1071,지리산(함양),466
2013,5순위,산음(양평),196,산음(양평),2314,남해편백(남해),2778,산음(양평),1014,산음(양평),425
2014,1순위,운문산(청도),412,유명산(가평),4728,유명산(가평),8136,유명산(가평),2937,유명산(가평),1328
2014,2순위,유명산(가평),395,운문산(청도),3018,운문산(청도),4598,남해편백(남해),1549,남해편백(남해),882
2014,3순위,남해편백(남해),226,남해편백(남해),3000,산음(양평),4518,산음(양평),1517,산음(양평),704
2014,4순위,칠보산(영덕),187,산음(양평),2821,희리산(서천),3789,운문산(청도),1498,청태산(횡성),704
2014,5순위,용화산(춘천),183,희리산(서천),2506,청태산(횡성),3780,청태산(횡성),1495,운문산(청도),665
2015,1순위,유명산(가평),397,유명산(가평),4208,유명산(가평),7731,유명산(가평),3335,유명산(가평),1600
2015,2순위,운문산(청도),348,운문산(청도),2553,산음(양평),4782,산음(양평),2011,남해편백(남해),1170
2015,3순위,남해편백(남해),268,남해편백(남해),2781,운문산(청도),4406,남해편백(남해),1794,산음(양평),1011
2015,4순위,청태산(횡성),216,청태산(횡성),2054,남해편백(남해),4178,청태산(횡성),1739,청태산(횡성),945
2015,5순위,대관령(강릉),190,대관령(강릉),1503,청태산(횡성),4113,운문산(청도),1495,변산(부안),825
2016,1순위,유명산(가평),400,유명산(가평),3766,유명산(가평),7770,유명산(가평),3867,유명산(가평),2057
2016,2순위,운문산(청도),310,남해편백(남해),2510,산음(양평),5516,산음(양평),2687,산음(양평),1491
2016,3순위,산음(양평),238,산음(양평),2467,중미산(양평),4625,중미산(양평),2112,남해편백(남해),1337
2016,4순위,남해편백(남해),235,운문산(청도),2144,운문산(청도),4419,남해편백(남해),2086,청태산(횡성),1064
2016,5순위,칠보산(영덕),217,중미산(양평),1958,남해편백(남해),4276,운문산(청도),1900,변산(부안),999
2017,1순위,유명산(가평),399,유명산(가평),3206,유명산(가평),7615,유명산(가평),4296,유명산(가평),2459
2017,2순위,남해편백(남해),284,산음(양평),2387,산음(양평),5765,산음(양평),3123,산음(양평),1815
2017,3순위,운문산(청도),276,남해편백(남해),2355,희리산(서천),4508,남해편백(남해),2320,남해편백(남해),1492
2017,4순위,산음(양평),256,희리산(서천),2007,남해편백(남해),4382,중미산(양평),2277,변산(부안),1308
2017,5순위,중미산(양평),200,운문산(청도),1948,중미산(양평),4231,미천골(양양),2073,청태산(횡성),1254
