휴양림명,가동가능 총수량,가동가능 주중 수량,가동가능 주말 수량,실제 가동 총 수량,실제 가동 주중 수량,실제 가동 주말 수량,총 가동률,주중 가동률,주말 가동률,운영동,숲속의 집,휴양관,연립동 총 수량,입장시설 수량,입장시설 금액,주차시설 수량,주차시설 금액,숙박시설 수량,숙박시설 금액,야영시설 수량,야영시설 금액,산림문화 수량,산림문화 금액,현장판매 수량,현장판매 금액,기타상품 수량,기타상품 금액,기타수익 수량,기타수익 금액,합계 수량,합계 금액
가리왕산 자연휴양림,1782,1139,643,796,463,333,44.669,40.65,51.788,24,10,14,0,17162,984200,1338,1677000,796,56859700,481,8212500,0,0,311,399000,0,0,0,0,20090,68136900
검마산 자연휴양림,784,496,288,131,57,74,16.709,11.492,25.694,16,0,16,0,3879,183900,187,325500,131,9294000,179,2892000,0,0,53,53000,0,0,0,0,4456,12795400
검봉산 자연휴양림,1463,951,512,439,238,201,30.007,25.026,39.258,16,0,0,16,5300,119900,303,352000,439,46608500,209,3697500,0,0,165,243000,0,0,0,0,6437,51065900
낙안민속 자연휴양림,1244,799,445,757,463,294,60.852,57.947,66.067,18,6,12,0,5373,154500,634,285000,757,52556600,71,1051000,0,0,72,119000,0,0,0,0,6957,54241100
남해편백 자연휴양림,2613,1674,939,2146,1362,784,82.128,81.362,83.493,38,21,13,4,27569,7733600,4735,12943500,2146,134874800,153,2382000,0,0,266,449000,0,0,0,0,35608,160783900
달음산 자연휴양림,676,425,251,608,374,234,89.941,88,93.227,14,0,0,14,4639,80400,537,94500,608,35209200,0,0,0,0,0,0,0,0,0,0,5812,35433100
대관령 자연휴양림,2982,1915,1067,2308,1446,862,77.398,75.509,80.787,37,6,13,18,18786,1877100,2543,3063500,2308,163589000,462,7353000,0,0,367,510000,0,0,0,0,24475,176473600
대야산 자연휴양림,1850,1184,666,593,270,323,32.054,22.804,48.498,30,1,20,9,5267,545300,352,889500,593,50028700,293,11048000,0,0,211,266000,0,0,0,0,6844,63556500
덕유산 자연휴양림,2356,1507,849,1713,1040,673,72.708,69.011,79.27,29,8,11,10,24914,1607200,1128,2569000,1729,100135400,331,4600000,0,0,98,152000,0,0,0,0,28275,109413100
두타산 자연휴양림,1300,829,471,696,361,335,53.538,43.546,71.125,21,1,18,2,6089,324800,335,543500,696,45707100,199,3005000,0,0,25,30000,0,0,0,0,7373,49657400
미천골 자연휴양림,1353,871,482,767,443,324,56.689,50.861,67.22,25,4,11,10,6963,1527800,1005,2433000,767,60120700,261,4248500,0,0,245,288000,0,0,0,0,9273,68676000
방장산 자연휴양림,1341,852,489,697,422,275,51.976,49.531,56.237,32,8,24,0,9043,1640500,1602,4014000,484,41725300,0,0,0,0,18,36000,0,0,3,1226200,11269,49287000
방태산 자연휴양림,328,187,141,290,159,131,88.415,85.027,92.908,10,1,9,0,18388,5512600,3721,9441500,290,23782000,386,5817500,0,0,195,195000,0,0,0,0,22980,44748600
백운산 자연휴양림,991,631,360,361,168,193,36.428,26.624,53.611,15,0,0,15,11936,185000,6,0,388,37849900,0,0,0,0,38,76000,0,0,0,0,12381,38277900
변산 자연휴양림,3313,2131,1182,2777,1767,1010,83.821,82.919,85.448,43,10,23,10,13490,1491000,3497,2621000,2777,194149700,0,0,0,0,229,458000,0,0,0,0,20039,198859700
복주산 자연휴양림,1480,948,532,563,252,311,38.041,26.582,58.459,25,3,19,3,4435,631600,834,1159500,563,40345200,0,0,0,0,19,38000,0,0,0,0,5851,42174300
산음 자연휴양림,2680,1738,942,1923,1137,786,71.754,65.42,83.439,50,20,16,14,10649,1240100,944,2492500,1923,108622000,181,2788500,0,0,4,8000,0,0,0,0,13733,115218600
삼봉 자연휴양림,2116,1368,748,1222,658,564,57.75,48.099,75.401,26,20,0,6,10000,1157400,1913,2127500,1222,83301300,310,4977000,0,0,202,232000,0,0,0,0,13679,91893200
상당산성 자연휴양림,2241,1432,809,1141,623,518,50.915,43.506,64.03,34,8,26,0,8376,607900,547,975000,1141,73997400,0,0,0,0,82,164000,0,0,0,0,10361,76657800
속리산 자연휴양림,2095,1348,747,1226,679,547,58.52,50.371,73.226,26,16,10,0,6112,40800,1197,6000,1226,76250600,0,0,0,0,100,200000,0,0,0,0,8650,76518900
신불산 자연휴양림,1255,797,458,710,385,325,56.574,48.306,70.961,41,5,34,2,26296,5541800,1981,4110000,710,46991500,385,5675000,0,0,84,140000,0,0,0,0,29596,62717800
아세안 자연휴양림,1743,1141,602,1461,939,522,83.821,82.296,86.711,24,9,0,15,9597,1776900,1716,3264000,1461,89053000,0,0,0,0,0,0,0,0,0,0,12820,94209900
오서산 자연휴양림,1980,1279,701,989,575,414,49.949,44.957,59.058,48,16,20,12,14657,1837600,1887,3053000,511,28580200,142,2090000,0,0,219,339000,0,0,0,0,17447,35995800
용대 자연휴양림,1342,867,475,1019,622,397,75.931,71.742,83.579,26,5,14,7,6684,494000,805,582500,1019,54522700,83,1229000,0,0,89,119000,0,0,0,0,8691,57035200
용현 자연휴양림,1235,657,578,712,354,358,57.652,53.881,61.938,23,7,13,3,16032,2138000,2088,3560500,712,60405600,385,6121500,0,0,327,393000,0,0,0,0,19698,72987100
용화산 자연휴양림,1735,1126,609,796,436,360,45.879,38.721,59.113,20,0,7,13,13011,1089200,757,1484000,796,66455300,911,14403000,0,0,417,750400,0,0,0,0,16029,84843900
운문산 자연휴양림,2354,1512,842,840,446,394,35.684,29.497,46.793,43,4,30,9,17186,912100,1021,1482000,840,67355400,429,6561000,0,0,100,160000,0,0,1,14200,19801,77213700
운악산 자연휴양림,1737,1139,598,870,474,396,50.086,41.615,66.221,23,1,0,22,10886,473800,1355,784500,884,80042900,0,0,0,0,6,12000,0,0,0,0,13210,81431700
