기관명,기관설명,주소,기관조성년도,기관전화번호,최대수용인원,운영시간
유명산 자연휴양림,자생식물원을 품은 수도권의 숲속 쉼터 유명산 자연휴양림,(12473) 경기 가평군 설악면 유명산길 79-53 ,1989,031-589-5487,3000,09시~18시
산음 자연휴양림,자연 그대로의 모습이 보존된 산음 자연휴양림,(12527) 경기 양평군 단월면 고북길 347 ,2000,031-774-8133,2000,09시~18시
중미산 자연휴양림,중미산 자연휴양림,(12505) 경기 양평군 옥천면 중미산로 1152 ,1991,031-771-7166,500,09시~18시
운악산 자연휴양림,자연을 수놓은 꽃길이 장관인 운악산 자연휴양림,(11123) 경기 포천시 화현면 화동로 184 ,2007,031-534-6330,200,09시~18시
속리산 자연휴양림,"자연 체험과 학습을 위한 최적의 장소, 속리산 말티재 자연휴양림",(28911) 충북 보은군 장안면 속리산로 256 ,2002,043-543-6282,300,09시~18시
오서산 자연휴양림,"충남 서부의 최고 명산, 오서산 자연휴양림",(33422) 충남 보령시 청라면 오서산길 531 ,2001,041-936-5465,1000,09시~18시
희리산 자연휴양림,사계절 해송으로 푸르른 희리산 해송 자연휴양림,(33612) 충남 서천군 종천면 희리산길 206 ,1999,041-953-2230,1000,09시~18시
용현 자연휴양림,"자연 교육과 문화 유적 탐방, 용현 자연휴양림",(31950) 충남 서산시 운산면 마애삼존불길 339 ,2005,041-664-1971,800,09시~18시
상당산성 자연휴양림,산성에서 휴양림으로 이어진 숲 상당산성 자연휴양림,(28150) 충북 청주시 청원구 내수읍 덕암2길 162 ,2012,043-216-0052,150,09시~18시
아세안 자연휴양림,아세안 10개국의 문화 체험을 즐길 수 있는 이색 휴양림 아세안 자연휴양림,(11518) 경기 양주시 백석읍 기산로 472 ,2015,031-871-2796,200,09시~18시
청태산 자연휴양림,인공림과 천연림이 조화된 청태산 자연휴양림,(25261) 강원 횡성군 둔내면 청태산로 610 ,1993,033-343-9707,1000,09시~18시
복주산 자연휴양림,울창한 산림과 맑은 계곡 복주산 자연휴양림,(24065) 강원 철원군 근남면 하오재로 818 ,2003,033-458-9426,300,09시~18시
용화산 자연휴양림,"산림청이 선정한 100대 명산, 용화산 자연휴양림",(24201) 강원 춘천시 사북면 사여골길 294 ,2006,033-243-9261,0,09시~18시
백운산 자연휴양림,"사계절 가족 단위 휴양 공간, 백운산 자연휴양림",(26402) 강원 원주시 판부면 백운산길 81 ,2006,033-766-1063,400,09시~18시
삼봉 자연휴양림,울창한 활엽수가 조화를 이룬 삼봉 자연휴양림,(25170) 강원 홍천군 내면 삼봉휴양길 276 ,1992,033-435-8536,1500,09시~18시
용대 자연휴양림,"오염되지 않은 자연 속 휴식 공간, 용대 자연휴양림",(24605) 강원 인제군 북면 연화동길 7 ,1994,033-462-5031,800,09시~18시
방태산 자연휴양림,수려한 자연경관과 다양한 야생동물을 감상할 수 있는 방태산 자연휴양림,(24656) 강원 인제군 기린면 방태산길 241 ,1997,033-463-8590,600,09시~18시
대관령 자연휴양림,"우리나라 최초의 자연휴양림, 대관령 자연휴양림",(25443) 강원 강릉시 성산면 삼포암길 133 ,1989,033-641-9990,1000,09시~18시
미천골 자연휴양림,"문화 유적 탐방과 자연 교육 체험, 미천골 자연휴양림",(25040) 강원 양양군 서면 미천골길 115 ,1993,033-673-1806,1000,09시~18시
두타산 자연휴양림,조용한 숲속의 작은 쉼터에 여러분을 초대합니다. 두타산 자연휴양림,(25337) 강원 평창군 진부면 아차골길 132 ,2008,033-334-8815,200,09시~18시
가리왕산 자연휴양림,울창한 숲과 야생화 꽃밭이 어우러진 가리왕산 자연휴양림,(26119) 강원 정선군 정선읍 가리왕산로 707 ,1993,033-562-5833,1000,09시~18시
