CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300002,(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",35.2714369,126.9609528,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,4,3,2,20,1,2,24,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2016-10-27,1,I,20201125000000,,,N,
CAP300005,(주)양촌여울체험캠프,"일반야영장,자동차야영장",35.1365006,128.3753007,경상남도 창원시 마산합포구 진전면 의산삼일로 60,38,0,0,0,1,1,1,0,0,0,0,"전기,온수,물놀이장,산책로,마트, 편의점",,2020-11-20,2016-12-19,4,I,20201125000000,,,N,
CAP300008,(주)자연에너지-드림랜드오토캠핑장,일반야영장,35.9840344,129.0005945,경북 영천시 고경면 고도길 38 (주)자연에너지-드림랜드오토캠핑장,135,135,0,0,3,1,3,15,0,0,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점","찜질방, 불가마, 예식장, 식당",2020-11-20,2010-01-11,7,I,20201125000000,,,N,
CAP300009,(주)자연인,"일반야영장,글램핑",33.4687254,126.5399565,제주특별자치도 제주시 아란서길 110-0,0,0,20,0,1,1,1,0,0,0,0,운동시설,,2020-11-20,2016-08-26,8,I,20201125000000,,,N,
CAP300010,(주)태평소금 천일염 힐링캠프,일반야영장,34.9968071,126.1776166,전라남도 신안군 증도면 지도증도로 1053-11,9,0,0,10,1,1,2,20,0,0,10,"전기,장작판매,온수,물놀이장,놀이터,마트, 편의점",,2020-11-20,2016-05-11,9,I,20201125000000,,,N,
CAP300011,505펜션&캠핑(오공오),일반야영장,36.5017433,127.02077,충남 공주시 사곡면 호계황골길 43,22,0,0,0,2,2,3,40,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-05-20,10,I,20201125000000,,,N,
CAP300012,80 SS 오토캠핑장,"일반야영장,자동차야영장,글램핑",36.0300417,128.6304762,경북 군위군 부계면 남산리 1138-4번지,14,10,7,0,2,2,2,40,0,0,7,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-08-05,11,I,20201125000000,,,N,
CAP300014,Camp 1950 by 민들레울,"일반야영장,글램핑",35.8787838,127.9410435,김천시 대덕면 남김천대로 160,9,0,11,0,3,3,1,22,1,1,18,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2017-04-27,13,I,20201125000000,,,N,
CAP300015,CLUB 596,"일반야영장,글램핑",36.683579,126.2683706,충남 태안군 남면 몽산리 596,0,0,5,0,2,2,2,8,0,0,6,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로",,2020-11-20,2017-08-01,14,I,20201125000000,,,N,
CAP300018,F1 오토캠핑장,일반야영장,34.7367086,126.3935277,전라남도 영암군 삼호읍 삼포리  1894,0,40,0,6,5,2,4,0,0,0,0,"온수,운동장",,2020-11-20,2012-11-27,17,I,20201125000000,,,N,
CAP300019,Najost Camp,일반야영장,37.1103264,128.6037991,강원 영월군 김삿갓면 김삿갓로 638,0,20,0,0,2,1,3,20,0,0,0,"전기,무선인터넷,장작판매,온수",,2020-11-20,2015-10-07,18,I,20201125000000,,,N,
CAP300020,THATS CAMPING 횡성자연휴양림야영장,"일반야영장,글램핑",37.5390902,128.1110517,강원도 횡성군 갑천면정포로430번길 113  THATS CAMPING 횡성자연휴양림야영장,0,60,5,0,3,2,2,0,0,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점","펜션 23동, 산책로, 등산로, 계곡, 수영장, 웨스턴 카페, RC카 서킷",2020-11-20,2015-05-29,19,I,20201125000000,,,N,
CAP300021,The Star 오토캠핑장,"일반야영장,자동차야영장,카라반",34.7181692,127.7818433,전남 여수시 돌산읍 상하동길 268,9,19,0,2,2,2,1,18,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2018-01-15,20,I,20201125000000,,,N,
CAP300024,W글램핑,"일반야영장,글램핑",35.3932118,127.8873465,경상남도 산청군 산청읍 내리  259-5,1,0,14,0,2,2,2,15,0,1,15,"전기,놀이터,운동시설",,2020-11-20,2016-05-03,23,I,20201125000000,,,N,
CAP300025,YC글램핑,일반야영장,38.0382263,126.9660207,경기 연천군 미산면 청정로 1049,0,0,0,0,0,0,0,0,0,0,0,"물놀이장,운동시설",,2020-11-20,2017-04-10,24,I,20201125000000,,,N,
CAP300028,㈜제주글램핑,일반야영장,33.4814834,126.752199,제주특별자치도 제주시 구좌읍 덕천리  1288-2,0,0,81,0,2,2,2,0,0,0,0,"전기,온수,물놀이장,놀이터,운동시설",,2020-11-20,2016-03-03,27,I,20201125000000,,,N,
CAP300029,가람관광농원,일반야영장,35.5873961,128.0576,경남 합천군 봉산면 인덕로 930,0,22,0,0,1,1,1,7,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2017-11-14,28,I,20201125000000,,,N,
CAP300030,가래골농원 캠핑장,일반야영장,37.9938562,127.1592806,경기도 포천시 창수면 추동리  821,0,0,0,0,0,0,0,90,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2016-09-13,29,I,20201125000000,,,N,
CAP300031,가루실캠프,일반야영장,36.6562383,126.6436775,충청남도 예산군 덕산면 둔리  525-34,21,0,2,0,3,2,2,15,1,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설",,2020-11-20,2016-03-24,30,I,20201125000000,,,N,
CAP300033,가마실캠핑장,일반야영장,37.1214901,128.2965596,충청북도 제천시 자작동  242,0,31,0,0,1,1,1,0,0,0,0,"전기,장작판매,온수,트램폴린,물놀이장,운동시설",,2020-11-20,2015-11-09,32,I,20201125000000,,,N,
