"CMPSI_ID","CMPSI_NM","CMPSI_SCTIN_NM","CMPSI_LTTD_VAL","CMPSI_LNGTD_VAL","CMPSI_ADDR",CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,"CMPSI_ETC_SBFCL_NM1","CMPSI_ETC_SBFCL_NM2","CMPSI_INFO_DATA_STNDD_DTM","CMPSI_CNPRM_DTM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"CAP300001","(주)데일리랜드","자동차야영장","37.7584857","127.845655","강원 춘천시 동산면 윗성골길 36",0,14,0,0,3,1,1,8,2,1,4,"전기,무선인터넷,장작판매,온수,물놀이장,마트, 편의점",NULL,"2020-11-20","2015-09-08",0,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","일반야영장,카라반,글램핑","35.2714369","126.9609528","전남 담양군 봉산면 탄금길 9-26",2,0,22,2,4,3,2,20,1,2,24,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동시설,마트, 편의점",NULL,"2020-11-20","2016-10-27",1,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300003","(주)쉐르빌리안티티","글램핑","37.7015645","127.5960926","강원 홍천군 서면 밤벌길19번길 111",0,0,18,0,4,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트, 편의점","애견 놀이터, 애견 수영장, 탁구장, 족구장, 노래방","2020-11-20","2016-09-13",2,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300004","(주)아웃오브파크","카라반","37.7278127","127.5112565","강원도 춘천시 남면 가옹개길 52-9",0,0,0,40,0,0,0,0,0,0,0,"운동시설","수영장, 노래방, 찜질방, 카페, 중앙 무대, 분수","2020-11-20","2017-09-18",3,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","일반야영장,자동차야영장","35.1365006","128.3753007","경상남도 창원시 마산합포구 진전면 의산삼일로 60",38,0,0,0,1,1,1,0,0,0,0,"전기,온수,물놀이장,산책로,마트, 편의점",NULL,"2020-11-20","2016-12-19",4,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","자동차야영장,글램핑","37.732632","127.5116915","강원도 춘천시 남면 가옹개길 108",0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,"2020-11-20","2015-08-04",5,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","글램핑","37.6963001","127.6892996","강원도 홍천군 서면 어유포리  282-8",0,0,17,0,0,0,1,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트, 편의점","단체 바비큐장, 계곡","2020-11-20","2016-04-29",6,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","일반야영장","35.9840344","129.0005945","경북 영천시 고경면 고도길 38 (주)자연에너지-드림랜드오토캠핑장",135,135,0,0,3,1,3,15,0,0,10,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점","찜질방, 불가마, 예식장, 식당","2020-11-20","2010-01-11",7,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","일반야영장,글램핑","33.4687254","126.5399565","제주특별자치도 제주시 아란서길 110-0",0,0,20,0,1,1,1,0,0,0,0,"운동시설",NULL,"2020-11-20","2016-08-26",8,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300010","(주)태평소금 천일염 힐링캠프","일반야영장","34.9968071","126.1776166","전라남도 신안군 증도면 지도증도로 1053-11",9,0,0,10,1,1,2,20,0,0,10,"전기,장작판매,온수,물놀이장,놀이터,마트, 편의점",NULL,"2020-11-20","2016-05-11",9,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","일반야영장","36.5017433","127.02077","충남 공주시 사곡면 호계황골길 43",22,0,0,0,2,2,3,40,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",NULL,"2020-11-20","2015-05-20",10,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300012","80 SS 오토캠핑장","일반야영장,자동차야영장,글램핑","36.0300417","128.6304762","경북 군위군 부계면 남산리 1138-4번지",14,10,7,0,2,2,2,40,0,0,7,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",NULL,"2020-11-20","2016-08-05",11,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","자동차야영장","37.3467235","127.8105836","강원도 원주시 지정면 안창리  산 56-3",0,0,0,0,0,0,0,0,0,0,0,"전기",NULL,"2020-11-20","2015-05-18",12,"I","20201125000000",NULL,NULL,"N",NULL
