CMPSI_ID,CMPSI_NM,CMPSI_SCTIN_NM,CMPSI_LTTD_VAL,CMPSI_LNGTD_VAL,CMPSI_ADDR,CMPSI_GNRL_CMPGR_CNT,CMPSI_CAR_CMPGR_CNT,CMPSI_GLPG_CNT,CMPSI_CARBN_CNT,CMPSI_TLROM_CNT,CMPSI_SWRM_CNT,CMPSI_WSBS_CNT,CMPSI_EXTNG_CNT,CMPSI_FFWT_CNT,CMPSI_FFSD_CNT,CMPSI_FIRE_SENSR_CNT,CMPSI_ETC_SBFCL_NM1,CMPSI_ETC_SBFCL_NM2,CMPSI_INFO_DATA_STNDD_DTM,CMPSI_CNPRM_DTM,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
CAP300002,(주)디노담양힐링파크 지점,"일반야영장,카라반,글램핑",35.2714369,126.9609528,전남 담양군 봉산면 탄금길 9-26,2,0,22,2,4,3,2,20,1,2,24,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동시설,마트, 편의점",,2020-11-20,2016-10-27,1,I,20201125000000,,,N,
CAP300004,(주)아웃오브파크,카라반,37.7278127,127.5112565,강원도 춘천시 남면 가옹개길 52-9,0,0,0,40,0,0,0,0,0,0,0,운동시설,"수영장, 노래방, 찜질방, 카페, 중앙 무대, 분수",2020-11-20,2017-09-18,3,I,20201125000000,,,N,
CAP300021,The Star 오토캠핑장,"일반야영장,자동차야영장,카라반",34.7181692,127.7818433,전남 여수시 돌산읍 상하동길 268,9,19,0,2,2,2,1,18,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2020-11-20,2018-01-15,20,I,20201125000000,,,N,
CAP300034,가산 글램핑,"일반야영장,카라반,글램핑",36.0884556,128.474735,경상북도 칠곡군 가산면 학하리  1178-1,0,0,26,5,2,2,1,31,0,0,31,"전기,온수,트램폴린,물놀이장,놀이터,산책로,운동시설",,2020-11-20,2015-10-19,33,I,20201125000000,,,N,
CAP300039,가우도카라반펜션,"일반야영장,카라반",34.5276559,126.7917474,전남 강진군 대구면 저두바닷길 3,5,0,0,6,2,2,3,6,0,0,0,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설",,2020-11-20,2015-12-23,38,I,20201125000000,,,N,
CAP300041,변산 오토캠핑장,"자동차야영장,카라반",35.6824139,126.5336697,전북 부안군 변산면 변산로 2054,0,30,0,5,0,0,0,0,0,0,0,"전기,무선인터넷,온수",,2020-11-20,2017-06-27,40,I,20201125000000,,,N,
CAP300070,강천산캠핑,"일반야영장,카라반",35.4158854,127.0775094,전북 순창군 팔덕면 강천로 664-26,0,0,0,7,0,0,0,7,0,0,7,"전기,무선인터넷,온수,물놀이장,놀이터",,2020-11-20,2016-07-20,69,I,20201125000000,,,N,
CAP300073,강촌달머리캠핑장,"일반야영장,자동차야영장,카라반",37.850929,127.5732255,강원도 춘천시 서면 안보리  471-1,60,0,0,0,1,0,1,3,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,마트, 편의점",,2020-11-20,2016-03-16,72,I,20201125000000,,,N,
CAP300083,거제글램퍼스,"일반야영장,카라반,글램핑",34.8145708,128.6651548,경남 거제시 일운면 망치4길 38  거제글램퍼스,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,놀이터,산책로",,2020-11-20,2016-07-22,82,I,20201125000000,,,N,
CAP300088,경주남산관광농원,"일반야영장,카라반,글램핑",35.7892926,129.1987347,경상북도 경주시 배동  1003,0,0,50,10,4,2,4,60,1,1,60,"전기,온수,트램폴린,물놀이장,산책로,운동장,운동시설",,2020-11-20,2015-07-15,87,I,20201125000000,,,N,
CAP300101,고대산캠핑리조트,"카라반,글램핑",38.2131745,127.1470347,경기도 연천군 신서면 대광리  130-3,0,0,30,10,4,4,2,0,0,0,0,"전기,온수,놀이터,운동장,운동시설","계곡, 족구장, 운동장, 수영장",2020-11-20,2016-06-17,100,I,20201125000000,,,N,
CAP300104,고산 무궁화 오토캠핑장,"일반야영장,카라반",35.9735698,127.2333925,전라북도 완주군 고산면 오산리  808,0,81,0,8,2,2,2,0,0,0,0,"전기,온수,놀이터,운동장","주변으로 무궁화 테마식물원, 에코어드벤처, 밀리터리파크 등",2020-11-20,2013-08-28,103,I,20201125000000,,,N,
CAP300105,고성 남산공원 오토캠핑장,"일반야영장,카라반,글램핑",34.9559321,128.3277671,경상남도 고성군 고성읍 공룡로 3165  남산공원 오토캠핑장,0,27,3,6,2,1,1,10,0,0,10,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",,2020-11-20,2013-06-27,104,I,20201125000000,,,N,
CAP300117,공릉관광지 캠핑장,"자동차야영장,카라반",37.7498499,126.8335561,경기도 파주시 조리읍 장곡로 218  420-7,16,0,0,10,2,2,2,30,0,0,0,"전기,무선인터넷,온수",테마파크 내 시설,2020-11-20,2016-07-21,116,I,20201125000000,,,N,
CAP300121,공주한옥마을 웅진오토캠핑장,카라반,36.4649471,127.1079449,충청남도 공주시 웅진동 관광단지길 12  공주한옥마을 웅진오토캠핑장,0,0,0,0,1,1,1,0,0,0,0,"전기,온수,놀이터,운동시설",,2020-11-20,2014-02-18,120,I,20201125000000,,,N,
CAP300126,광릉숲 이야기 관광농원,"일반야영장,카라반",37.7664661,127.1706732,경기도 포천시 소흘읍 직동리  76-4,0,23,0,0,1,1,3,30,0,0,10,"전기,장작판매,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2016-01-14,125,I,20201125000000,,,N,
CAP300130,교동아일랜드,"자동차야영장,카라반",37.7728422,126.3009741,강화군 교동면 읍내리 6-5번지,2,2,0,5,10,2,5,10,0,0,5,"전기,온수,물놀이장,놀이터",,2020-11-20,2017-04-10,129,I,20201125000000,,,N,
CAP300133,구룡레져타운야영장,"일반야영장,카라반,글램핑",37.4400428,128.0546124,강원도 원주시 소초면 치악로 3403  구룡레저타운야영장,50,0,5,15,2,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설","오리조차,",2020-11-20,2015-06-18,132,I,20201125000000,,,N,
CAP300137,구름포해수욕장카라반,"일반야영장,카라반,글램핑",36.8354752,126.1537895,충청남도 태안군 소원면 의항리  160-4,12,0,16,10,1,2,2,40,2,2,6,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설",,2020-11-20,2016-12-19,136,I,20201125000000,,,N,
CAP300142,구미 캠핑장,"일반야영장,카라반",36.1384962,128.3750556,경상북도 구미시 양호동 614-1,157,0,0,13,5,6,3,120,3,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동장,운동시설",,2020-11-20,2017-07-07,141,I,20201125000000,,,N,
CAP300146,구암농원,카라반,37.6738717,127.3751278,경기도 남양주시 화도읍 구암리  8-2,0,0,0,14,1,0,0,20,0,0,0,,,2020-11-20,2015-12-10,145,I,20201125000000,,,N,
CAP300148,구천동가는길 카라반,"일반야영장,카라반",35.8956261,127.7757384,전라북도 무주군 설천면 삼공리  519-10,0,0,0,9,0,0,0,13,0,0,13,"전기,온수,운동시설",,2020-11-20,2016-07-07,147,I,20201125000000,,,N,
CAP300176,그날카라반,"일반야영장,카라반",35.9112979,127.7548605,전라북도 무주군 설천면 심곡리 651  그날카라반,0,0,0,7,1,1,1,7,0,0,7,물놀이장,,2020-11-20,2016-09-30,175,I,20201125000000,,,N,
CAP300180,그림나래 힐링캠프,"일반야영장,카라반",36.7185737,126.244738,충청남도 태안군 근흥면 용신리 41,0,0,0,3,3,3,3,3,0,0,3,"전기,온수,물놀이장,놀이터",,2020-11-20,2017-03-31,179,I,20201125000000,,,N,
CAP300182,글램비글램핑,"일반야영장,카라반,글램핑",37.169774,126.62796,경기도 화성시 서신면 해안길 64,0,0,44,2,0,0,0,46,0,0,46,"전기,무선인터넷,온수,트램폴린,물놀이장,놀이터,운동시설,마트, 편의점",,2020-11-20,2017-11-24,181,I,20201125000000,,,N,
CAP300184,글램핑 앤 카라반 (포항),"일반야영장,카라반",36.0794375,129.5460042,경상북도 포항시 남구 호미곶면 구만리  602-3,0,0,0,9,9,9,9,9,0,0,9,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터","킥보드, 카트, 조식카페",2020-11-20,2016-06-24,183,I,20201125000000,,,N,
CAP300187,글램핑앤카라반,"일반야영장,카라반,글램핑",37.5860577,127.6776484,경기도 양평군 단월면 단월로 600  글램핑앤카라반,0,0,4,4,2,2,2,16,0,0,8,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장",,2020-11-20,2016-02-18,186,I,20201125000000,,,N,
CAP300203,기장일출랜드,카라반,35.2722006,129.2488093,부산광역시 기장군 일광면 이천리  145-20,0,0,0,10,1,1,0,10,0,0,10,"전기,무선인터넷,온수,트램폴린,물놀이장,놀이터,운동시설","게스트하우스도 운영하고 있슴.숯,석쇠판매",2020-11-20,2016-06-17,202,I,20201125000000,,,N,
CAP300210,김포한강오토캠핑장,"일반야영장,카라반,글램핑",37.7030591,126.6544393,경기도 김포시 하성면 전류리  170-3,98,98,16,4,3,3,2,0,0,0,0,"전기,온수,물놀이장,운동시설",사계절 썰매장,2020-11-20,2013-08-28,209,I,20201125000000,,,N,
CAP300230,낙동강레포츠밸리구지오토캠핑장,"일반야영장,카라반",35.671999,128.371533,대구광역시 달성군 구지면 구지서로 199  낙동강레포츠밸리구지오토캠핑장,11,0,0,12,2,1,1,16,2,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,산책로,운동장,운동시설",,2020-11-20,2016-05-17,229,I,20201125000000,,,N,
CAP300237,낭만캠프,"일반야영장,카라반,글램핑",38.0431019,127.7993317,강원 화천군 간동면 모현동로 185-41 137-1,0,5,3,3,2,2,1,0,0,0,0,"전기,장작판매,온수,물놀이장,운동장,운동시설","세탁기, 카페, 미니 동물원",2020-11-20,2015-07-30,236,I,20201125000000,,,N,
CAP300242,내원자동차야영장,"자동차야영장,카라반",35.2967767,127.8124104,경상남도 산청군 삼장면 대포리  산 106-2,32,16,0,0,0,0,0,0,0,0,0,"전기,무선인터넷",,2020-11-20,2015-08-04,241,I,20201125000000,,,N,
CAP300264,농협회사법인 봉좌마을 캠핑장,"일반야영장,카라반,글램핑",36.0777955,129.1700704,경상북도 포항시 북구 기계면 봉계리 262-1,46,0,8,0,4,2,2,15,0,0,0,"전기,무선인터넷,장작판매,온수,트램폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트, 편의점",,2020-11-20,2015-08-07,263,I,20201125000000,,,N,
