,조회수,제목,주소,전기,온수,마트.편의점,트렘폴린,운동장,놀이터,산책로,장작판매,물놀이장,와이파이,운동시설
33,36970,알멕스랜드캠핑장,경기도 연천군 왕징면 왕산로 218번길 25-100 ,1,1,1,1,1,1,1,1,1,1,1
129,22224,함평나비마을 서울캠핑장,전라남도 함평군 함평읍 함장로 730 ,1,1,1,1,1,1,1,1,1,1,1
189,19657,고성잔디캠핑장,경남 고성군 하일면 용태리 479 ,1,1,1,1,1,1,1,1,1,1,1
202,19099,청도 그린나래 오토캠핑장,경북 청도군 매전면 송원길 122-3 ,1,1,1,1,1,1,1,1,1,1,1
302,17172,드림랜드오토캠핑장,경북 영천시 고경면 고도길 38 ,1,1,1,1,1,1,1,1,1,1,1
321,16973,솔뜰 캠핑장,경기 양평군 옥천면 사기점길 49-15 ,1,1,1,1,1,1,1,1,1,1,1
429,15694,엘포리글램핑, ,1,1,1,1,1,1,1,1,1,1,1
505,15022,마로니에숲 캠핑장,충북 옥천군 이원면 장찬길 159-73 ,1,1,1,1,1,1,1,1,1,1,1
575,14524,백마강오토캠핑장,충남 부여군 규암면 왕흥로 424 ,1,1,1,1,1,1,1,1,1,1,1
610,14309,보리산캠핑장,경기 가평군 설악면 한서로 421-259 ,1,1,1,1,1,1,1,1,1,1,1
635,14055,산들래 야영장,경기도 화성시 비봉면 자청로207번길 21-73  ,1,1,1,1,1,1,1,1,1,1,1
660,13959,페리오캠핑장,경북 울진군 울진읍 울진북로 906 ,1,1,1,1,1,1,1,1,1,1,1
701,13627,아트엔체험캠프,경남 고성군 대가면 무량로 251 ,1,1,1,1,1,1,1,1,1,1,1
718,13460,올덴캠핑장,경기 가평군 청평면 고재길 262-64 ,1,1,1,1,1,1,1,1,1,1,1
813,12976,키즈드림 캠핑장,충북 보은군 내북면 남부로 5825-6 ,1,1,1,1,1,1,1,1,1,1,1
831,12850,새연카라반리조트,경기 가평군 조종면 운악청계로333번길 86 ,1,1,1,1,1,1,1,1,1,1,1
1077,11629,자일랜드,경기도 포천시 영북면 호국로4350번길 154-187  ,1,1,1,1,1,1,1,1,1,1,1
1084,11611,펜션600 캠핑장,경북 경주시 장골길 61 (동방동) ,1,1,1,1,1,1,1,1,1,1,1
1095,11424,오글오글오토캠핑장,경상북도 경주시 산내면 문복로 1637-32  ,1,1,1,1,1,1,1,1,1,1,1
1096,11423,별찌 야영장,경상북도 청도군 운문면 신원4길 2  ,1,1,1,1,1,1,1,1,1,1,1
1356,3957,폰타나리조트,충남 서산시 팔봉면 팔봉2로 29 ,1,1,1,1,1,1,1,1,1,1,1
1364,3927,파크킹,경북 김천시 어모면 은림로 62-11 ,1,1,1,1,1,1,1,1,1,1,1
1387,3551,솔부엉이 캠핑장,충북 음성군 음성읍 음성로826번길 6-9 ,1,1,1,1,1,1,1,1,1,1,1
1420,3209,알로프랑스,경북 김천시 어모면 은림로 62-11 ,1,1,1,1,1,1,1,1,1,1,1
401,15949,캠프리카캠핑장, ,1,1,0,1,1,1,1,1,1,1,1
1060,11750,이레캠핑장,경기 포천시 군내면 청군로2985번길 148 ,1,1,0,1,1,1,1,1,1,1,1
45,32608,당항포 오토캠핑장,경남 고성군 회화면 당항만로 1116 ,1,1,1,0,1,1,1,1,1,1,1
57,30271,연천재인폭포오토캠핑장,경기도 연천군 연천읍 고문리 117-1번지 ,1,1,1,0,1,1,1,1,1,1,1
69,26112,설뫼충효테마파크야영장,경남 의령군 부림면 입산로 22-2  ,1,1,1,0,1,1,1,1,1,1,1
113,23069,505펜션&캠핑(오공오),충남 공주시 사곡면 호계황골길 43 ,1,1,1,0,1,1,1,1,1,1,1
580,14506,서대산 드림 캠핑파크,충남 금산군 추부면 성당로 247 ,1,1,1,0,1,1,1,1,1,1,1
