,id,name,address,lat,lon,capacity,rate,wd_rate,we_rate,resv_count,revenue,describe,kakao_score
0,101,유명산 자연휴양림,(12473) 경기 가평군 설악면 유명산길 79-53 ,127.4821423,37.59010292,3000,79.258,76.503,84.123,21959,187641300,자생식물원을 품은 수도권의 숲속 쉼터 유명산 자연휴양림,4.0
1,102,용대 자연휴양림,(24605) 강원 인제군 북면 연화동길 7 ,128.3434525,38.23701579,800,75.931,71.742,83.579,6919,57035200,"오염되지 않은 자연 속 휴식 공간, 용대 자연휴양림",4.3
2,103,산음 자연휴양림,(12527) 경기 양평군 단월면 고북길 347 ,127.5689189,37.59769924,2000,71.754,65.42,83.439,14275,115218600,자연 그대로의 모습이 보존된 산음 자연휴양림,4.4
3,104,아세안 자연휴양림,(11518) 경기 양주시 백석읍 기산로 472 ,126.9426123,37.77297894,200,83.821,82.296,86.711,6201,94209900,아세안 10개국의 문화 체험을 즐길 수 있는 이색 휴양림 아세안 자연휴양림,3.1
4,105,신불산 자연휴양림,(44909) 울산 울주군 상북면 청수골길 175 ,129.0235555,35.54455149,1000,56.574,48.306,70.961,7685,62717800,영남알프스의 베이스캠프 신불산 폭포 자연휴양림,3.9
5,106,청태산 자연휴양림,(25261) 강원 횡성군 둔내면 청태산로 610 ,128.2907134,37.52293534,1000,63.514,56.479,75.93,11316,135846400,인공림과 천연림이 조화된 청태산 자연휴양림,4.6
6,107,삼봉 자연휴양림,(25170) 강원 홍천군 내면 삼봉휴양길 276 ,128.4634114,37.85798046,1500,57.75,48.099,75.401,6212,91893200,울창한 활엽수가 조화를 이룬 삼봉 자연휴양림,5.0
7,108,중미산 자연휴양림,(12505) 경기 양평군 옥천면 중미산로 1152 ,127.4567975,37.58092358,500,71.693,68.606,77.468,7627,80112700,중미산 자연휴양림,3.3
8,109,방태산 자연휴양림,(24656) 강원 인제군 기린면 방태산길 241 ,128.398925,37.92264578,600,88.415,85.027,92.908,3312,44748600,수려한 자연경관과 다양한 야생동물을 감상할 수 있는 방태산 자연휴양림,3.3
9,110,복주산 자연휴양림,(24065) 강원 철원군 근남면 하오재로 818 ,127.4732783,38.14381285,300,38.041,26.582,58.459,3836,42174300,울창한 산림과 맑은 계곡 복주산 자연휴양림,4.0
