,사업장명,상세영업상태명,소재지전체주소,시설규모,kakao_score,lat,lon
0,도봉야영장,휴업,경기도 의정부시 호원동 163,299.0,,37.6951064,127.046636
1,블루파크,휴업,경기도 포천시 화현면 명덕리 179-1,354.0,,37.8723616,127.2784102
2,얼음골 캠핑장,휴업,경상남도 밀양시 산내면 삼양리 산 138,110.0,,35.5984157,128.9519444
3,대천용두야영장,휴업,충청남도 보령시 웅천읍 관당리 645-14,73.0,,36.2596442,126.5413313
4,별천지야영장,휴업,경기도 가평군 북면 화악리 741-7,,,37.9327613,127.5470684
5,국립용대자연휴양림,휴업,강원도 인제군 북면 용대리 산 262-1 용대리자연자연휴양림,0.0,,38.1889599,128.3620907
6,케렌시아캠핑장,휴업,경기도 양주시 회암동 22-3,185.0,,37.8439094,127.1067708
7,할매야영장,휴업,경상남도 하동군 청암면 묵계리 106-9,104.0,,35.2108405,127.7648066
8,자유캠핑장,휴업,경상남도 하동군 옥종면 두양리 38-8,3296.0,,35.24523,127.8862099
9,백학자유로리조트,휴업,경기도 연천군 백학면 구미리 240,5497.0,,38.0081618,126.9479419
10,장흥군 수문랜드 블루투어,휴업,전라남도 장흥군 안양면 수문리 산 33-18,0.0,,34.6330186,127.0303153
11,다덕약수관광지 캠핑장,휴업,경상북도 봉화군 봉성면 우곡리 500,,,36.9163648,128.8283573
12,고재 야영장,휴업,경기도 양평군 지평면 곡수리 535-1,1838.0,,37.4274391,127.6062587
13,더 노은로 캠핑장,휴업,대전광역시 유성구 노은동 288-17,4800.0,,36.3626317,127.3186977
14,남서야영장,휴업,경상북도 울릉군 서면 남서리 63-1,0.0,,37.4748563,130.8318988
15,천보산자연휴양림 캠핑장,휴업,경기도 포천시 동교동 산 31번지 외 1필지,1799.0,,37.8637445,127.1187874
16,양평 베이스캠프,휴업,경기도 양평군 양평읍 백안리 231,32.0,,37.49557009999999,127.5310051
17,봉무공원 야영장,휴업,대구광역시 동구 봉무동 산 135-3,3600.0,,35.9198111,128.6509025
18,순창향 관광농원 오토캠핑장,휴업,전라북도 순창군 구림면 화암리 1086,77.0,,35.4319307,127.0588251
19,세계인의랜드,휴업,경기도 양평군 단월면 향소리 124번지,5498.0,,37.5642189,127.6622872
