,name,kakao_score
0,화천숲속 야영장,4.6
1,낙안민속 자연휴양림,4.2
2,지리산 자연휴양림,5.0
3,남해편백 자연휴양림,3.8
4,속리산 자연휴양림,3.5
5,삼봉 자연휴양림,5.0
6,가리왕산 자연휴양림,0.0
7,미천골 자연휴양림,4.5
8,중미산 자연휴양림,3.3
9,용대 자연휴양림,4.3
10,대관령 자연휴양림,3.8
11,달음산 자연휴양림,3.1
12,황정산 자연휴양림,3.3
13,신불산 자연휴양림,3.9
14,오서산 자연휴양림,4.4
15,운문산 자연휴양림,5.0
16,아세안 자연휴양림,3.1
17,상당산성 자연휴양림,4.2
18,진도 자연휴양림,5.0
19,희리산 자연휴양림,3.0
20,신시도자연휴양림,3.2
21,두타산 자연휴양림,2.8
22,유명산 자연휴양림,4.0
23,덕유산 자연휴양림,3.5
24,산음 자연휴양림,4.4
25,검마산 자연휴양림,4.7
26,청태산 자연휴양림,4.6
27,검봉산 자연휴양림,3.3
28,대야산 자연휴양림,4.0
29,방태산 자연휴양림,3.3
30,복주산 자연휴양림,4.0
31,용현 자연휴양림,4.7
32,청옥산 자연휴양림,3.5
33,운장산 자연휴양림,4.5
34,백운산 자연휴양림,4.5
35,통고산 자연휴양림,4.5
36,천관산 자연휴양림,3.3
37,회문산 자연휴양림,3.7
38,운악산 자연휴양림,4.2
39,방장산 자연휴양림,5.0
40,용화산 자연휴양림,4.2
41,변산 자연휴양림,4.6
42,칠보산 자연휴양림,3.7
