,소재지전체주소,lat,lon
0,경기도 의정부시 호원동 163,37.6951064,127.046636
1,경기도 포천시 화현면 명덕리 179-1,37.8723616,127.2784102
2,경상남도 밀양시 산내면 삼양리 산 138,35.5984157,128.9519444
3,충청남도 보령시 웅천읍 관당리 645-14,36.2596442,126.5413313
4,경기도 가평군 북면 화악리 741-7,37.9327613,127.5470684
5,강원도 인제군 북면 용대리 산 262-1 용대리자연자연휴양림,38.1889599,128.3620907
6,경기도 양주시 회암동 22-3,37.8439094,127.1067708
7,경상남도 하동군 청암면 묵계리 106-9,35.2108405,127.7648066
8,경상남도 하동군 옥종면 두양리 38-8,35.24523,127.8862099
9,경기도 연천군 백학면 구미리 240,38.0081618,126.9479419
10,전라남도 장흥군 안양면 수문리 산 33-18,34.6330186,127.0303153
11,경상북도 봉화군 봉성면 우곡리 500,36.9163648,128.8283573
12,경기도 양평군 지평면 곡수리 535-1,37.4274391,127.6062587
13,대전광역시 유성구 노은동 288-17,36.3626317,127.3186977
14,경상북도 울릉군 서면 남서리 63-1,37.4748563,130.8318988
15,경기도 포천시 동교동 산 31번지 외 1필지,37.8637445,127.1187874
16,경기도 양평군 양평읍 백안리 231,37.49557009999999,127.5310051
17,대구광역시 동구 봉무동 산 135-3,35.9198111,128.6509025
18,전라북도 순창군 구림면 화암리 1086,35.4319307,127.0588251
19,경기도 양평군 단월면 향소리 124번지,37.5642189,127.6622872
20,경기도 양평군 서종면 문호리 1067-5,37.5835698,127.357661
21,경상북도 봉화군 소천면 현동리 702-11,36.9328884,129.0082828
22,경기도 가평군 상면 임초리 391,37.7686018,127.3732884
23,경상남도 진주시 미천면 오방리 141-4번지,35.2913564,128.1301473
24,전라북도 진안군 안천면 삼락리 1159-1,35.9528223,127.5285946
25,강원도 영월군 무릉도원면 두산리 604,37.3178185,128.1614819
26,경상북도 안동시 예안면 인계리 430번지,36.6952965,128.9270618
27,경기도 가평군 북면 목동리 1077-2,37.8932751,127.5519618
28,경기도 가평군 가평읍 금대리 583-2,37.7468316,127.5253743
29,전라남도 보성군 문덕면 양동리 942,34.9175159,127.1902953
30,제주특별자치도 서귀포시 보목동 526,33.240427,126.6083091
31,전라북도 무주군 적상면 포내리 561-1번지,35.9545105,127.7151596
32,전라북도 무주군 적상면 포내리 291,35.9670582,127.7165116
33,경기도 포천시 신북면 덕둔리 627-4,37.972879,127.1022191
34,경기도 고양시 덕양구 지축동 153,37.6623783,126.9488461
35,경기도 가평군 상면 행현리 553-11,37.7786832,127.3570209
